,filename_seg,counted
0,96 well image example__A1__1.jpg,1
1,96 well image example__A1__2.jpg,2
2,96 well image example__A1__3.jpg,1
3,96 well image example__A1__4.jpg,1
4,96 well image example__A1__5.jpg,2
5,96 well image example__A1__6.jpg,2
6,96 well image example__A1__7.jpg,1
7,96 well image example__A1__8.jpg,1
8,96 well image example__A1__9.jpg,1
9,96 well image example__A1__10.jpg,1
10,96 well image example__A1__11.jpg,1
11,96 well image example__A1__12.jpg,1
12,96 well image example__A1__13.jpg,1
13,96 well image example__A1__14.jpg,1
14,96 well image example__A1__15.jpg,1
15,96 well image example__A1__16.jpg,1
16,96 well image example__A1__17.jpg,1
17,96 well image example__A1__18.jpg,1
18,96 well image example__A1__19.jpg,1
19,96 well image example__A1__20.jpg,2
20,96 well image example__A1__21.jpg,3
21,96 well image example__A2__1.jpg,1
22,96 well image example__A2__2.jpg,1
23,96 well image example__A2__3.jpg,1
24,96 well image example__A2__4.jpg,3
25,96 well image example__A2__5.jpg,2
26,96 well image example__A2__6.jpg,1
27,96 well image example__A2__7.jpg,1
28,96 well image example__A2__8.jpg,1
29,96 well image example__A2__9.jpg,1
30,96 well image example__A2__10.jpg,1
31,96 well image example__A2__11.jpg,1
32,96 well image example__A2__12.jpg,1
33,96 well image example__A2__13.jpg,1
34,96 well image example__A2__14.jpg,1
35,96 well image example__A2__15.jpg,1
36,96 well image example__A2__16.jpg,1
37,96 well image example__A2__17.jpg,2
38,96 well image example__A2__18.jpg,2
39,96 well image example__A2__19.jpg,2
40,96 well image example__A2__20.jpg,1
41,96 well image example__A2__21.jpg,1
42,96 well image example__A2__22.jpg,1
43,96 well image example__A3__1.jpg,1
44,96 well image example__A3__2.jpg,2
45,96 well image example__A3__3.jpg,1
46,96 well image example__A3__4.jpg,1
47,96 well image example__A3__5.jpg,1
48,96 well image example__A3__6.jpg,2
49,96 well image example__A3__7.jpg,1
50,96 well image example__A3__8.jpg,1
51,96 well image example__A3__9.jpg,1
52,96 well image example__A3__10.jpg,2
53,96 well image example__A3__11.jpg,1
54,96 well image example__A3__12.jpg,2
55,96 well image example__A3__13.jpg,1
56,96 well image example__A3__14.jpg,1
57,96 well image example__A3__15.jpg,1
58,96 well image example__A3__16.jpg,3
59,96 well image example__A3__17.jpg,4
60,96 well image example__A4__1.jpg,1
61,96 well image example__A4__2.jpg,2
62,96 well image example__A4__3.jpg,1
63,96 well image example__A4__4.jpg,1
64,96 well image example__A4__5.jpg,1
65,96 well image example__A4__6.jpg,3
66,96 well image example__A4__7.jpg,1
67,96 well image example__A4__8.jpg,2
68,96 well image example__A4__9.jpg,1
69,96 well image example__A4__10.jpg,1
70,96 well image example__A4__11.jpg,1
71,96 well image example__A4__12.jpg,1
72,96 well image example__A4__13.jpg,1
73,96 well image example__A4__14.jpg,2
74,96 well image example__A4__15.jpg,1
75,96 well image example__A4__16.jpg,1
76,96 well image example__A5__1.jpg,2
77,96 well image example__A5__2.jpg,1
78,96 well image example__A5__3.jpg,2
79,96 well image example__A5__4.jpg,1
80,96 well image example__A5__5.jpg,2
81,96 well image example__A5__6.jpg,1
82,96 well image example__A5__7.jpg,1
83,96 well image example__A5__8.jpg,1
84,96 well image example__A5__9.jpg,5
85,96 well image example__A5__10.jpg,1
86,96 well image example__A5__11.jpg,1
87,96 well image example__A5__12.jpg,1
88,96 well image example__A5__13.jpg,1
89,96 well image example__A5__14.jpg,1
90,96 well image example__A5__15.jpg,2
91,96 well image example__A5__16.jpg,1
92,96 well image example__A5__17.jpg,1
93,96 well image example__A5__18.jpg,1
94,96 well image example__A6__1.jpg,1
95,96 well image example__A6__2.jpg,1
96,96 well image example__A6__3.jpg,1
97,96 well image example__A6__4.jpg,1
98,96 well image example__A6__5.jpg,1
99,96 well image example__A6__6.jpg,4
100,96 well image example__A6__7.jpg,1
101,96 well image example__A6__8.jpg,2
102,96 well image example__A6__9.jpg,1
103,96 well image example__A6__10.jpg,4
104,96 well image example__A6__11.jpg,2
105,96 well image example__A6__12.jpg,2
106,96 well image example__A6__13.jpg,1
107,96 well image example__A6__14.jpg,1
108,96 well image example__A6__15.jpg,1
109,96 well image example__A6__16.jpg,1
110,96 well image example__A6__17.jpg,2
111,96 well image example__A7__1.jpg,2
112,96 well image example__A7__2.jpg,2
113,96 well image example__A7__3.jpg,1
114,96 well image example__A7__4.jpg,1
115,96 well image example__A7__5.jpg,1
116,96 well image example__A7__6.jpg,2
117,96 well image example__A7__7.jpg,1
118,96 well image example__A7__8.jpg,2
119,96 well image example__A7__9.jpg,1
120,96 well image example__A7__10.jpg,1
121,96 well image example__A7__11.jpg,1
122,96 well image example__A7__12.jpg,1
123,96 well image example__A7__13.jpg,1
124,96 well image example__A8__1.jpg,1
125,96 well image example__A8__2.jpg,1
126,96 well image example__A8__3.jpg,1
127,96 well image example__A8__4.jpg,2
128,96 well image example__A8__5.jpg,1
129,96 well image example__A8__6.jpg,1
130,96 well image example__A8__7.jpg,1
131,96 well image example__A8__8.jpg,1
132,96 well image example__A8__9.jpg,2
133,96 well image example__A8__10.jpg,1
134,96 well image example__A8__11.jpg,1
135,96 well image example__A8__12.jpg,2
136,96 well image example__A8__13.jpg,1
137,96 well image example__A8__14.jpg,2
138,96 well image example__A8__15.jpg,1
139,96 well image example__A8__16.jpg,1
140,96 well image example__A8__17.jpg,2
141,96 well image example__A9__1.jpg,1
142,96 well image example__A9__2.jpg,1
143,96 well image example__A9__3.jpg,3
144,96 well image example__A9__4.jpg,1
145,96 well image example__A9__5.jpg,1
146,96 well image example__A9__6.jpg,1
147,96 well image example__A9__7.jpg,1
148,96 well image example__A9__8.jpg,2
149,96 well image example__A9__9.jpg,2
150,96 well image example__A9__10.jpg,1
151,96 well image example__A9__11.jpg,2
152,96 well image example__A9__12.jpg,2
153,96 well image example__A9__13.jpg,1
154,96 well image example__A9__14.jpg,1
155,96 well image example__A10__1.jpg,1
156,96 well image example__A10__2.jpg,1
157,96 well image example__A10__3.jpg,0
158,96 well image example__A10__4.jpg,1
159,96 well image example__A10__5.jpg,1
160,96 well image example__A10__6.jpg,1
161,96 well image example__A10__7.jpg,4
162,96 well image example__A10__8.jpg,1
163,96 well image example__A10__9.jpg,1
164,96 well image example__A10__10.jpg,1
165,96 well image example__A10__11.jpg,1
166,96 well image example__A10__12.jpg,1
167,96 well image example__A10__13.jpg,1
168,96 well image example__A10__14.jpg,4
169,96 well image example__A10__15.jpg,1
170,96 well image example__A10__16.jpg,1
171,96 well image example__A10__17.jpg,0
172,96 well image example__A10__18.jpg,1
173,96 well image example__A11__1.jpg,2
174,96 well image example__A11__2.jpg,1
175,96 well image example__A11__3.jpg,1
176,96 well image example__A11__4.jpg,1
177,96 well image example__A11__5.jpg,1
178,96 well image example__A11__6.jpg,2
179,96 well image example__A11__7.jpg,1
180,96 well image example__A11__8.jpg,3
181,96 well image example__A11__9.jpg,1
182,96 well image example__A11__10.jpg,2
183,96 well image example__A11__11.jpg,1
184,96 well image example__A11__12.jpg,1
185,96 well image example__A11__13.jpg,2
186,96 well image example__A11__14.jpg,1
187,96 well image example__A11__15.jpg,1
188,96 well image example__A11__16.jpg,1
189,96 well image example__A12__1.jpg,1
190,96 well image example__A12__2.jpg,2
191,96 well image example__A12__3.jpg,1
192,96 well image example__A12__4.jpg,1
193,96 well image example__A12__5.jpg,1
194,96 well image example__A12__6.jpg,1
195,96 well image example__A12__7.jpg,1
196,96 well image example__A12__8.jpg,1
197,96 well image example__A12__9.jpg,1
198,96 well image example__A12__10.jpg,2
199,96 well image example__A12__11.jpg,2
200,96 well image example__A12__12.jpg,1
201,96 well image example__A12__13.jpg,1
202,96 well image example__A12__14.jpg,1
203,96 well image example__A12__15.jpg,1
204,96 well image example__A12__16.jpg,3
205,96 well image example__A12__17.jpg,1
206,96 well image example__B1__1.jpg,1
207,96 well image example__B1__2.jpg,1
208,96 well image example__B1__3.jpg,1
209,96 well image example__B1__4.jpg,5
210,96 well image example__B1__5.jpg,1
211,96 well image example__B1__6.jpg,2
212,96 well image example__B1__7.jpg,1
213,96 well image example__B1__8.jpg,1
214,96 well image example__B1__9.jpg,1
215,96 well image example__B1__10.jpg,1
216,96 well image example__B1__11.jpg,1
217,96 well image example__B1__12.jpg,1
218,96 well image example__B1__13.jpg,4
219,96 well image example__B1__14.jpg,0
220,96 well image example__B1__15.jpg,1
221,96 well image example__B1__16.jpg,1
222,96 well image example__B2__1.jpg,1
223,96 well image example__B2__2.jpg,1
224,96 well image example__B2__3.jpg,6
225,96 well image example__B2__4.jpg,1
226,96 well image example__B2__5.jpg,1
227,96 well image example__B2__6.jpg,1
228,96 well image example__B2__7.jpg,1
229,96 well image example__B2__8.jpg,1
230,96 well image example__B2__9.jpg,1
231,96 well image example__B2__10.jpg,1
232,96 well image example__B2__11.jpg,1
233,96 well image example__B2__12.jpg,1
234,96 well image example__B2__13.jpg,1
235,96 well image example__B3__1.jpg,4
236,96 well image example__B3__2.jpg,1
237,96 well image example__B3__3.jpg,1
238,96 well image example__B3__4.jpg,1
239,96 well image example__B3__5.jpg,2
240,96 well image example__B3__6.jpg,1
241,96 well image example__B3__7.jpg,2
242,96 well image example__B3__8.jpg,1
243,96 well image example__B3__9.jpg,1
244,96 well image example__B3__10.jpg,2
245,96 well image example__B3__11.jpg,1
246,96 well image example__B3__12.jpg,1
247,96 well image example__B3__13.jpg,2
248,96 well image example__B3__14.jpg,1
249,96 well image example__B3__15.jpg,1
250,96 well image example__B3__16.jpg,1
251,96 well image example__B3__17.jpg,1
252,96 well image example__B3__18.jpg,2
253,96 well image example__B3__19.jpg,1
254,96 well image example__B4__1.jpg,1
255,96 well image example__B4__2.jpg,1
256,96 well image example__B4__3.jpg,1
257,96 well image example__B4__4.jpg,2
258,96 well image example__B4__5.jpg,1
259,96 well image example__B4__6.jpg,1
260,96 well image example__B4__7.jpg,1
261,96 well image example__B4__8.jpg,1
262,96 well image example__B4__9.jpg,1
263,96 well image example__B4__10.jpg,1
264,96 well image example__B4__11.jpg,2
265,96 well image example__B4__12.jpg,1
266,96 well image example__B4__13.jpg,1
267,96 well image example__B4__14.jpg,2
268,96 well image example__B4__15.jpg,5
269,96 well image example__B4__16.jpg,1
270,96 well image example__B4__17.jpg,1
271,96 well image example__B4__18.jpg,2
272,96 well image example__B4__19.jpg,2
273,96 well image example__B5__1.jpg,1
274,96 well image example__B5__2.jpg,1
275,96 well image example__B5__3.jpg,2
276,96 well image example__B5__4.jpg,1
277,96 well image example__B5__5.jpg,1
